Text,label
"Terms and Conditions (""Terms"") Our Terms and Conditions were last updated on [DATE]. Please read these terms and conditions carefully before using Our Service. Interpretation and Definitions Interpretation The words of which the initial letter is capitalized have meanings defined under the following conditions. The following definitions shall have the same meaning regardless of whether they appear in singular or in plural.",Legal
"Acknowledgment These are the Terms and Conditions governing the use of this Service and the agreement that operates between You and the Company. These Terms and Conditions set out the rights and obligations of all users regarding the use of the Service. Your access to and use of the Service is conditioned on Your acceptance of and compliance with these Terms and Conditions. These Terms and Conditions apply to all visitors, users and others who access or use the Service. By accessing or using the Service You agree to be bound by these Terms and Conditions. If You disagree with any part of these Terms and Conditions then You may not access the Service. You represent that you are over the age of 18. The Company does not permit those under 18 to use the Service. Your access to and use of the Service is also conditioned on Your acceptance of and compliance with the Privacy Policy of the Company. Our Privacy Policy describes Our policies and procedures on the collection, use and disclosure of Your personal information when You use the Application or the Website and tells You about Your privacy rights and how the law protects You. Please read Our Privacy Policy carefully before using Our Service.",Legal
"User Accounts When You create an account with Us, You must provide Us information that is accurate, complete, and current at all times. Failure to do so constitutes a breach of the Terms, which may result in immediate termination of Your account on Our Service. You are responsible for safeguarding the password that You use to access the Service and for any activities or actions under Your password, whether Your password is with Our Service or a Third-Party Social Media Service. You agree not to disclose Your password to any third party. You must notify Us immediately upon becoming aware of any breach of security or unauthorized use of Your account. You may not use as a username the name of another person or entity or that is not lawfully available for use, a name or trademark that is subject to any rights of another person or entity other than You without appropriate authorization, or a name that is otherwise offensive, vulgar or obscene. Content Your Right to Post Content Our Service allows You to post Content. You are responsible for the Content that You post to the Service, including its legality, reliability, and appropriateness. By posting Content to the Service, You grant Us the right and license to use, modify, publicly perform, publicly display, reproduce, and distribute such Content on and through the Service. You retain any and all of Your rights to any Content You submit, post or display on or through the Service and You are responsible for protecting those rights. You agree that this license includes the right for Us to make Your Content available to other users of the Service, who may also use Your Content subject to these Terms. You represent and warrant that: (i) the Content is Yours (You own it) or You have the right to use it and grant Us the rights and license as provided in these Terms, and (ii) the posting of Your Content on or through the Service does not violate the privacy rights, publicity rights, copyrights, contract rights or any other rights of any person. Content Restrictions The Company is not responsible for the content of the Service's users. You expressly understand and agree that You are solely responsible for the Content and for all activity that occurs under your account, whether done so by You or any third person using Your account.",Legal
"You may not transmit any Content that is unlawful, offensive, upsetting, intended to disgust, threatening, libelous, defamatory, obscene or otherwise objectionable. Examples of such objectionable Content include, but are not limited to, the following: ● Unlawful or promoting unlawful activity. ● Defamatory, discriminatory, or mean-spirited content, including references or commentary about religion, race, sexual orientation, gender, national/ethnic origin, or other targeted groups. ● Spam, machine – or randomly – generated, constituting unauthorized or unsolicited advertising, chain letters, any other form of unauthorized solicitation, or any form of lottery or gambling. ● Containing or installing any viruses, worms, malware, trojan horses, or other content that is designed or intended to disrupt, damage, or limit the functioning of any software, hardware or telecommunications equipment or to damage or obtain unauthorized access to any data or other information of a third person. ● Infringing on any proprietary rights of any party, including patent, trademark, trade secret, copyright, right of publicity or other rights. ● Impersonating any person or entity including the Company and its employees or representatives. ● Violating the privacy of any third person. ● False information and features. The Company reserves the right, but not the obligation, to, in its sole discretion, determine whether or not any Content is appropriate and complies with this Terms, refuse or remove this Content. The Company further reserves the right to make formatting and edits and change the manner of any Content. The Company can also limit or revoke the use of the Service if You post such objectionable Content. As the Company cannot control all content posted by users and/or third parties on the Service, you agree to use the Service at your own risk. You understand that by using the Service You may be exposed to content that You may find offensive, indecent, incorrect or objectionable, and You agree that under no circumstances will the Company be liable in any way for any content, including any errors or omissions in any content, or any loss or damage of any kind incurred as a result of your use of any content. Content Backups Although regular backups of Content are performed, the Company does not guarantee there will be no loss or corruption of data. Corrupt or invalid backup points may be caused by, without limitation, Content that is corrupted prior to being backed up or that changes during the time a backup is performed. The Company will provide support and attempt to troubleshoot any known or discovered issues that may affect the backups of Content. But You acknowledge that the Company has no liability related to the integrity of Content or the failure to successfully restore Content to a usable state. You agree to maintain a complete and accurate copy of any Content in a location independent of the Service. Copyright Policy Intellectual Property Infringement We respect the intellectual property rights of others. It is Our policy to respond to any claim that Content posted on the Service infringes a copyright or other intellectual property infringement of any person. If You are a copyright owner, or authorized on behalf of one, and You believe that the copyrighted work has been copied in a way that constitutes copyright infringement that is taking place through the Service, You must submit Your notice in writing to the attention of our copyright agent via email ([COPYRIGHT_AGENT_CONTACT_EMAIL]) and include in Your notice a detailed description of the alleged infringement. You may be held accountable for damages (including costs and attorneys' fees) for misrepresenting that any Content is infringing Your copyright.",Legal
"Your Order Cancellation Rights Any Products you purchase can only be returned or refunded in accordance with these Terms and Conditions. Availability, Errors and Inaccuracies We are constantly updating Our offerings of Products on the Service. The Products available on Our Service may be mispriced, described inaccurately, or unavailable, and We may experience delays in updating information regarding our Products on the Service and in Our advertising on other websites. We cannot and do not guarantee the accuracy or completeness of any information, including prices, product images, specifications, availability, and services. We reserve the right to change or update information and to correct errors, inaccuracies, or omissions at any time without prior notice. Prices Policy The Company reserves the right to revise its prices at any time prior to accepting an Order. The prices quoted may be revised by the Company subsequent to accepting an Order in the event of any occurrence affecting delivery caused by government action, variation in customs duties, increased shipping charges, higher foreign exchange costs and any other matter beyond the control of the Company. In that event, You will have the right to cancel Your Order.",Legal
"Payment can be made through various payment methods we have available, such as Visa, MasterCard, Affinity Card, American Express cards or online payment methods (PayPal, for example). Payment cards (credit cards or debit cards) are subject to validation checks and authorization by Your card issuer. If we do not receive the required authorization, We will not be liable for any delay or non-delivery of Your Order. Promotions Any Promotions made available through the Service may be governed by rules that are separate from these Terms. If You participate in any Promotions, please review the applicable rules as well as our Privacy policy. If the rules for a Promotion conflict with these Terms, the Promotion rules will apply. Intellectual Property The Service and its original content (excluding Content provided by You or other users), features and functionality are and will remain the exclusive property of the Company and its licensors. The Service is protected by copyright, trademark, and other laws of both the Country and foreign countries. Our trademarks and trade dress may not be used in connection with any product or service without the prior written consent of the Company. Your Feedback to Us You assign all rights, title and interest in any Feedback You provide the Company. If for any reason such assignment is ineffective, You agree to grant the Company a non-exclusive, perpetual, irrevocable, royalty free, worldwide right and license to use, reproduce, disclose, sub-license, distribute, modify and exploit such Feedback without restriction.",Legal
"Links to Other Websites Our Service may contain links to third-party web sites or services that are not owned or controlled by the Company. The Company has no control over, and assumes no responsibility for, the content, privacy policies, or practices of any third party web sites or services. You further acknowledge and agree that the Company shall not be responsible or liable, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with the use of or reliance on any such content, goods or services available on or through any such web sites or services. We strongly advise You to read the terms and conditions and privacy policies of any third-party web sites or services that You visit. Termination We may terminate or suspend Your Account immediately, without prior notice or liability, for any reason whatsoever, including without limitation if You breach these Terms and Conditions. Upon termination, Your right to use the Service will cease immediately. If You wish to terminate Your Account, You may simply discontinue using the Service. Limitation of Liability Notwithstanding any damages that You might incur, the entire liability of the Company and any of its suppliers under any provision of this Terms and Your exclusive remedy for all of the foregoing shall be limited to the amount actually paid by You through the Service or 100 USD if You haven't purchased anything through the Service. To the maximum extent permitted by applicable law, in no event shall the Company or its suppliers be liable for any special, incidental, indirect, or consequential damages whatsoever (including, but not limited to, damages for loss of profits, loss of data or other information, for business interruption, for personal injury, loss of privacy arising out of or in any way related to the use of or inability to use the Service, third-party software and/or third-party hardware used with the Service, or otherwise in connection with any provision of this Terms), even if the Company or any supplier has been advised of the possibility of such damages and even if the remedy fails of its essential purpose. Some states do not allow the exclusion of implied warranties or limitation of liability for incidental or consequential damages, which means that some of the above limitations may not apply. In these states, each party's liability will be limited to the greatest extent permitted by law. ""AS IS"" and ""AS AVAILABLE"" Disclaimer The Service is provided to You ""AS IS"" and ""AS AVAILABLE"" and with all faults and defects without warranty of any kind. To the maximum extent permitted under applicable law, the Company, on its own behalf and on behalf of its Affiliates and its and their respective licensors and service providers, expressly disclaims all warranties, whether express, implied, statutory or otherwise, with respect to the Service, including all implied warranties of merchantability, fitness for a particular purpose, title and non-infringement, and warranties that may arise out of course of dealing, course of performance, usage or trade practice. Without limitation to the foregoing, the Company provides no warranty or undertaking, and makes no representation of any kind that the Service will meet Your requirements, achieve any intended results, be compatible or work with any other software, applications, systems or services, operate without interruption, meet any performance or reliability standards or be error free or that any errors or defects can or will be corrected",Legal
"Governing Law The laws of the Country, excluding its conflicts of law rules, shall govern this Terms and Your use of the Service. Your use of the Application may also be subject to other local, state, national, or international laws. Disputes Resolution If You have any concern or dispute about the Service, You agree to first try to resolve the dispute informally by contacting the Company. For European Union (EU) Users If You are a European Union consumer, you will benefit from any mandatory provisions of the law of the country in which you are resident in. United States Legal Compliance You represent and warrant that (i) You are not located in a country that is subject to the United States government embargo, or that has been designated by the United States government as a ""terrorist supporting"" country, and (ii) You are not listed on any United States government list of prohibited or restricted parties. Severability and W",Legal
"Changes to These Terms and Conditions We reserve the right, at Our sole discretion, to modify or replace these Terms at any time. If a revision is material We will make reasonable efforts to provide at least 30 days' notice prior to any new terms taking effect. What constitutes a material change will be determined at Our sole discretion. By continuing to access or use Our Service after those revisions become effective, You agree to be bound by the revised terms. If You do not agree to the new terms, in whole or in part, please stop using the website and the Service.",Legal
"PRIVACY [Business Name] believes strongly in protecting user privacy and providing you with notice of MuscleUP Nutrition 's use of data. Please refer to [Business Name] privacy policy, incorporated by reference herein, that is posted on the Website. VI. AGREEMENT TO BE BOUND By using this Website or ordering Products, you acknowledge that you have read and agree to be bound by this Agreement and all terms and conditions on this Website. VIII. GENERAL Force Majeure. [Business Name] will not be deemed in default hereunder or held responsible for any cessation, interruption or delay in the performance of its obligations hereunder due to earthquake, flood, fire, storm, natural disaster, act of God, war, terrorism, armed conflict, labor strike, lockout, or boycott. Cessation of Operation. [Business Name] may at any time, in its sole discretion and without advance notice to you, cease operation of the Website and distribution of the Products. Entire Agreement. This Agreement comprises the entire agreement between you and [Business Name] and supersedes any prior agreements pertaining to the subject matter contained herein. Effect of Waiver. The failure of [Business Name] to exercise or enforce any right or provision of this Agreement will not constitute a waiver of such right or provision. If any provision of this Agreement is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties' intentions as reflected in the provision, and the other provisions of this Agreement remain in full force and effect.",Legal
"Statute of Limitation. You agree that regardless of any statute or law to the contrary, any claim or cause of action arising out of or related to use of the Website or Products or this Agreement must be filed within one (1) year after such claim or cause of action arose or be forever barred. Waiver of Class Action Rights. BY ENTERING INTO THIS AGREEMENT, YOU HEREBY IRREVOCABLY WAIVE ANY RIGHT YOU MAY HAVE TO JOIN CLAIMS WITH THOSE OF OTHER IN THE FORM OF A CLASS ACTION OR SIMILAR PROCEDURAL DEVICE. ANY CLAIMS ARISING OUT OF, RELATING TO, OR CONNECTION WITH THIS AGREEMENT MUST BE ASSERTED INDIVIDUALLY. Termination. [Business Name] reserves the right to terminate your access to the Website if it reasonably believes, in its sole discretion, that you have breached any of the terms and conditions of this Agreement. Following termination, you will not be permitted to use the Website and [Business Name] may, in its sole discretion and without advance notice to you, cancel any outstanding orders for Products. If your access to the Website is terminated, [Business Name] reserves the right to exercise whatever means it deems necessary to prevent unauthorized access of the Website. This Agreement will survive indefinitely unless and until [Business Name] chooses, in its sole discretion and without advance to you, to terminate it. Domestic Use. [Business Name] makes no representation that the Website or Products are appropriate or available for use in locations outside India. Users who access the Website from outside India do so at their own risk and initiative and must bear all responsibility for compliance with any applicable local laws. Assignment. You may not assign your rights and obligations under this Agreement to anyone. [Business Name] may assign its rights and obligations under this Agreement in its sole discretion and without advance notice to you. BY USING THIS WEBSITE OR ORDERING PRODUCTS FROM THIS WEBSITE YOU AGREE TO BE BOUND BY ALL OF THE TERMS AND CONDITIONS OF THIS AGREEM",Legal
"OFFICIALS NOT TO BENEFIT The Contractor warrants that it has not and shall not offer to any representative, official, employee, or other agent of FAO any direct or indirect benefit arising from or related to the performance of the Contract or of any other contract with FAO or the award thereof or for any other purpose intended to gain an advantage for the Contractor. ARTICLE 29 – OBSERVANCE OF THE LAW The Contractor shall comply with all laws, ordinances, rules, and regulations bearing upon the performance of its obligations under the Contract. The Contractor shall promptly correct any violations thereof and shall keep FAO informed of any conflict or problem arising in relation to national authorities. In addition, the Contractor shall maintain compliance with all obligations relating to its registration as a qualified vendor of goods or services to FAO, as such obligations are set forth in FAO vendor registration procedures",Legal
"The Contractor shall observe the highest standard of ethics and will certify that it has not and will not engage in Sanctionable Actions during the selection process and throughout the negotiation and execution of this Contract. The Contractor expressly agrees to abide by the UN Supplier Code of Conduct. 34.2 FAO, without prejudice to any other rights or remedies it may possess, may terminate the Contract forthwith if the Contractor, in the judgment of FAO, has engaged in Sanctionable Actions during the selection process or in negotiating or executing this Contract, and as appropriate, impose sanctions, as per the prevailing Sanctions Procedures (http://www.fao.org/fileadmin/user_upload/procurement/docs/FAO_Vendors_Sanctions_Policy_-_Procedures.pdf), and request full or partial restitution of sums previously paid by FAO under this Contract. FAO may also share information on the sanctioned Contractor with other Intergovernmental or UN Organizations. 34.3 For the purpose of this Article, Sanctionable Actions are defined as follows: “Corrupt practice” means the offering, giving, receiving or soliciting, directly or indirectly, of anything of value whether tangible or intangible to improperly influence the actions of another party; “Fraudulent practice” means any act or omission, including misrepresentation that knowingly or recklessly misleads, or attempts to mislead, a party to obtain a financial and/or other benefit and/or to avoid an obligation; “Collusive practice” is an arrangement between two or more parties designed to achieve an improper purpose, including influencing improperly the actions of another party; “Coercive practice” is impairing or harming, or threatening to impair or harm, directly or indirectly, any party or the property of the party to influence improperly the actions of a party; “Unethical practice” is any act or omission contrary to the conflict of interest, gifts and hospitality or post-employment FAO policy (http://www.fao.org/unfao/procurement/codedeconduitethique/en/), as well as any provisions or other published requirements of doing business with the Organization, including the UN Supplier Code of Conduct; and “Obstructive practice” is an act or omission by a Third Party that may prevent or hinder the work of Investigation Unit of the FAO Office of the Inspector General.",Legal
"DISCLOSURE OF SANCTIONS OR TEMPORARY SUSPENSION The Contractor should not be suspended, debarred, or otherwise identified as ineligible by any Intergovernmental or UN Organization, including any organization within the World Bank Group or any multi-lateral development bank, or by the institutions and bodies of economic integration organizations (e.g., the European Union). The Contractor is therefore required to disclose to FAO whether itself, or any of its affiliates or agents, is subject to any sanction or temporary suspension imposed by any such organization or National Authority at any time during the three years prior to this Contract and at any time throughout the execution of this Contract. The Contractor recognizes that a breach of this provision will entitle FAO to terminate its Contract with the Contractor, and that material misrepresentations on its status constitute a fraudulent practice. ARTICLE 36 – COLLABORATION WITH CERTAIN COUNTRIES FAO reserves the right to communicate in writing to the Contractor, countries from which no goods or services shall be purchased directly or indirectly for purposes of delivery, distribution, installation, or use under this Contract. These communications shall be deemed a condition of this Contract and be incorporated by the Contractor in any contracts with authorized subcontractors. ARTICLE 37 – NOTICES AND COMMUNICATIONS All notices and other binding communications shall be in English, or the language of the Contract, and shall be deemed to be validly given if sent by registered mail, by fax or by email with return receipt to the other Party at the address or numbers of either Party as indicated in the Contract.",Legal
"Terms and conditions of Engagement 1.1. The Consultant has been engaged from <> which shall also be deemed as date of the acceptance of these terms to provide the Company with the services described in Schedule A (the “Scope of Services”), together with such other services as may be reasonably requested in connection with this Agreement. 1.2. The Consultant agrees to perform the Services in a timely manner, and to exercise all reasonable skill and care in the performance of the Services. 1.3. He shall provide the Company promptly with any information, data or documents which may be reasonably required in connection with the Services under this Agreement. 1.4. Unless otherwise agreed by the parties in writing, the Company shall at its own expense supply the Consultant with all necessary documents and materials, and all necessary data or other information (“Data”) relating to the Services, within sufficient time to enable the Consultant to provide the Services in accordance with this Agreement.",Legal
"All information relating to the Company or given by Company to the Consultant, pursuant to this Agreement, either in tangible or intangible form, shall be deemed to be confidential (hereinafter referred to as “Confidential Information”) for the purpose of this Agreement. 6.2. The Consultant shall not use Company’s Confidential Information for any purpose other than as required to perform its obligations under this Agreement and shall ensure that the Consultant’s Representatives do not disclose to any person any Confidential Information of the Company at any time, or make or authorize any public or private announcement or communication concerning the Agreement. 6.3. The Consultant shall also ensure that its representatives are provided access to Company’s Confidential Information only on a need-to-know-basis and solely for the performance of this Agreement, and such representatives shall be bound by the same obligation. If the Consultant is required to disclose any of the Company’s Confidential Information to a statutory authority, promptly upon receiving the disclosure request, but to the extent legally permissible, the Consultant will provide notice to Company about such disclosure requirement and assist in resisting such disclosure. 6.4. The Consultant agrees that the Confidential Information which has been or will be disclosed by or on behalf of the Company will be received by the Consultant in confidence and will be used only for performance under and in accordance with this Agreement.",Legal
"Intellectual Property Rights All Intellectual Property Rights comprised in any and all materials (including software, source code, documentation, data, concepts and ideas) or any part thereof created or developed (whether jointly or independently by either Party) during the term of the Agreement (collectively, the “Data”) shall, unless otherwise expressly agreed between the Parties, be deemed to be irrevocably assigned to and shall vest in the Company upon creation without further charge. If required by the Company, Consultant shall do all things and sign all documents necessary to vest all such Intellectual property Rights assigned or otherwise transferred or granted to the Company under this Agreement.",Legal
"Dispute Resolution In the event of any dispute under this Agreement, the same shall be amicably settled between the Parties. If any dispute is not settled amicably, the same shall be referred to the sole arbitrator to be appointed by both the Parties. The award given by the Arbitrator shall be final and binding on both the Parties. The language of Arbitral Proceedings shall be English. This arbitration shall be governed by The Arbitration & Conciliation Act, 1996 and the place of arbitration shall be at <>. 10.5. Governing Law This Agreement shall be governed and construed in accordance with Indian Laws and subject to the exclusive jurisdiction of competent courts at <>. 10.6. Entire Agreement The Parties hereto confirm and acknowledge that this Agreement shall constitute the entire agreement between them and all earlier agreements, arrangements, letters ,correspondence, understandings etc., either written or verbal communication with respect to the subject matter herein stand superseded by this Agreement and no amendment, modification or addition to this Agreement shall be binding on either of the Parties hereto unless set forth in writing and executed by the Parties through their duly authorized representatives. IN WITNESS WHEREOF the Parties hereto have executed this Agreement on the day and year first above written.",Legal
